Name	Brand name	Type	Source	Target	Approved	Use
Pidilizumab		mab	humanized	PD-1		cancer and infectious diseases
Pinatuzumab vedotin		mab	humanized	CD22		cancer
Pintumomab		mab	mouse	adenocarcinoma antigen		adenocarcinoma (imaging)
Placulumab		mab	human	TNF		pain and inflammatory diseases
Prezalumab		mab	human	TNF		
Plozalizumab		mab	humanized	CCR2		diabetic nephropathy and arteriovenous graft patency
Pogalizumab		mab	humanized	tumor necrosis factor receptor (TNFR) superfamily member 4		?
Polatuzumab vedotin	Polivy	mab	humanized	CD79B	Y	diffuse large B-cell lymphoma
Ponezumab		mab	humanized	β-amyloid		Alzheimer's disease
Porgaviximab		mab	chimeric	Zaire ebolavirus glycoprotein		Ebola virus disease
Prasinezumab		mab	humanized	Alpha-synuclein		Parkinson's disease
Prezalizumab		mab	humanized	inducible T-cell co-stimulatory ligand (ICOSL)		?
Priliximab		mab	chimeric	CD4		Crohn's disease, multiple sclerosis
Pritoxaximab		mab	chimeric	E. coli shiga toxin type-1		?
Pritumumab		mab	human	vimentin		brain cancer
PRO 140		?	humanized	CCR5		HIV infection
Quilizumab		mab	humanized	IGHE		asthma
Racotumomab	Vaxira	mab	mouse	NGNA ganglioside	Y	non-small cell lung cancer
Radretumab		mab	human	fibronectin extra domain-B		cancer
Rafivirumab		mab	human	rabies virus glycoprotein		rabies (prophylaxis)
Ralpancizumab		mab	humanized	PCSK9		dyslipidemia
Ramucirumab	Cyramza	mab	human	VEGFR2	Y	solid tumors
Ranevetmab		mab	veterinary	NGF		osteoarthritis in dogs
Ranibizumab	Lucentis	Fab	humanized	VEGF-A	Y	macular degeneration (wet form)
Raxibacumab		mab	human	anthrax toxin, protective antigen	Y	anthrax (prophylaxis and treatment)
Ravagalimab		mab	humanized	CD40		Crohn's disease
Ravulizumab	Ultomiris	mab	humanized	C5	Y	paroxysmal nocturnal hemoglobinuria, atypical hemolytic uremic syndrome
Refanezumab		mab	humanized	myelin-associated glycoprotein		recovery of motor function after stroke
Regavirumab		mab	human	cytomegalovirus glycoprotein B		cytomegalovirus infection
Regdanvimab	Regkirona	mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Y	Coronavirus disease 2019 (COVID-19)
Relatlimab		mab	human	LAG3		melanoma
Remtolumab		mab	human	IL-17A, TNF		?
Reslizumab	Cinqair	mab	humanized	IL-5	Y	inflammations of the airways, skin and gastrointestinal tract
Rilotumumab		mab	human	hepatocyte growth factor (HGF)		solid tumors
Rinucumab		mab	human	PDGFRB		neovascular age-related macular degeneration
Risankizumab	Skyrizi	mab	humanized	IL-23A	Y	Crohn's disease, psoriasis, psoriatic arthritis, and asthma
Rituximab	MabThera, Rituxan	mab	chimeric	CD20	Y	lymphomas, leukemias, some autoimmune disorders
Rivabazumab pegol		mab	humanized	Pseudomonas aeruginosa type III secretion system		?
Robatumumab		mab	human	IGF-1 receptor (CD221)		cancer
Rmab	RabiShield	?	human	rabies virus G glycoprotein	Y	post-exposure prophylaxis of rabies
Roledumab		mab	human	RHD (gene) (RHD)		Rh disease
Romilkimab		mab	chimeric/humanized	IL-13		?
Romosozumab	Evenity	mab	humanized	sclerostin	Y	osteoporosis
Rontalizumab		mab	humanized	IFN-α		systemic lupus erythematosus
Rosmantuzumab		mab	humanized	root plate-specific spondin 3		cancer
Rovalpituzumab tesirine		mab	humanized	DLL3		small cell lung cancer
Rovelizumab	LeukArrest	mab	humanized	CD11, CD18	Y	haemorrhagic shock etc.
Rozanolixizumab		mab	chimeric/humanized	FCGRT		Immune thrombocytopenic purpura (ITP), myasthenia gravis
Ruplizumab	Antova	mab	humanized	CD154 (CD40L)	Y	rheumatic diseases
SA237		?	humanized	IL-6 receptor		neuromyelitis optica and neuromyelitis optica spectrum disorders
Sacituzumab govitecan	Trodelvy	mab	humanized	TROP-2	Y	triple-negative breast cancer
Samalizumab		mab	humanized	CD200		cancer
Samrotamab vedotin		mab	chimeric/humanized	LRRC15		cancer
Sarilumab	Kevzara	mab	human	IL-6	Y	rheumatoid arthritis, ankylosing spondylitis
Satralizumab	Enspryng	mab	humanized	IL-6 receptor	Y	neuromyelitis optica
Satumomab pendetide		mab	mouse	TAG-72		cancer (diagnosis)
Secukinumab	Cosentyx	mab	human	IL-17A	Y	uveitis, rheumatoid arthritis psoriasis
Selicrelumab		mab	human	CD40		?
Seribantumab		mab	human	ERBB3 (HER3)		cancer
Setoxaximab		mab	chimeric	E. coli shiga toxin type-2		?
Setrusumab		mab	human	sclerostin (SOST)		?
Sevirumab		?	human	cytomegalovirus		cytomegalovirus infection
Sibrotuzumab		mab	humanized	FAP (gene) (FAP)		cancer
SGN-CD19A		mab	humanized	CD19		acute lymphoblastic leukemia and B-cell non-Hodgkin lymphoma
SHP647		?	human	mucosal addressin cell adhesion molecule		Crohn's disease
Sifalimumab		mab	human	IFN-α		systemic lupus erythematosus (SLE), dermatomyositis, polymyositis
Siltuximab	Sylvant	mab	chimeric	IL-6	Y	cancer
Simtuzumab		mab	humanized	LOXL2		fibrosis
Siplizumab		mab	humanized	CD2		psoriasis, graft-versus-host disease (prevention)
Sirtratumab vedotin		mab	human	SLITRK6		cancer
Sirukumab		mab	human	IL-6		rheumatoid arthritis
Sofituzumab vedotin		mab	humanized	CA-125		ovarian cancer
Solanezumab		mab	humanized	β-amyloid		Alzheimer's disease
Solitomab		BiTE	mouse	EpCAM		gastrointestinal, lung, and other cancers
Sonepcizumab		?	humanized	sphingosine-1-phosphate		choroidal and retinal neovascularization
Sontuzumab		mab	humanized	episialin		
Sotrovimab	Xevudy	mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Y	Coronavirus disease 2019 (COVID-19)
Spartalizumab		mab	humanized	PD-1		melanoma
Stamulumab		mab	human	myostatin		muscular dystrophy
Sulesomab	LeukoScan	Fab'	mouse	NCA-90 (granulocyte antigen)		osteomyelitis (imaging)
Suptavumab		mab	human	RSVFR		medically attended lower respiratory disease
Sutimlimab	Enjaymo	mab	chimeric/humanized	complement component 1s (C1s)	Y	cold agglutinin disease
Suvizumab		mab	humanized	HIV-1		viral infections
Suvratoxumab		mab	human	Staphylococcus aureus alpha toxin		nosocomial pneumonia
Tabalumab		mab	human	B-cell activating factor (BAFF)		B-cell cancers
Tacatuzumab tetraxetan	AFP-Cide	mab	humanized	alpha-fetoprotein		cancer
Tadocizumab		Fab	humanized	integrin αIIbβ3		percutaneous coronary intervention
Tafasitamab	Monjuvi	mab	humanized (from mouse)	CD19	Y	relapsed or refractory diffuse large B-cell lymphoma
Talacotuzumab		mab	humanized	CD123		leukemia etc.
Talizumab		mab	humanized	IgE		allergic reaction
Talquetamab		BsMAb	human	GPRC5D, CD3		relapsed or refractory multiple myeloma
Tamtuvetmab	Tactress	mab	veterinary	CD52		
Tanezumab		mab	humanized	nerve growth factor (NGF)		pain
Taplitumomab paptox		mab	mouse	CD19		cancer[citation needed]
Tarextumab		mab	human	Notch receptor		cancer
Tavolimab		mab	chimeric/humanized	CD134		cancer
Teclistamab		BsMAb	human	B-cell maturation antigen (BCMA), CD3		relapsed or refractory multiple myeloma
Tefibazumab	Aurexis	mab	humanized	clumping factor A		Staphylococcus aureus infection
Telimomab aritox		Fab	mouse	?		
Telisotuzumab		mab	humanized	HGFR		cancer
Telisotuzumab vedotin		mab	humanized	HGFR		cancer
Tenatumomab		mab	mouse	tenascin C		cancer
Teneliximab		mab	chimeric	CD40		autoimmune diseases and prevention of organ transplant rejection
Teplizumab		mab	humanized	CD3		diabetes mellitus type 1
Tepoditamab		mab	human	dendritic cell-associated lectin 2		cancer
Teprotumumab	Tepezza	mab	human	IGF-1 receptor (CD221)	Y	thyroid eye disease
Tesidolumab		mab	human	C5		
Tetulomab		mab	humanized	CD37		cancer
Tezepelumab	Tezspire	mab	human	thymic stromal lymphopoietin (TSLP)	Y	asthma
TGN1412		?	humanized	CD28		chronic lymphocytic leukemia, rheumatoid arthritis
Tibulizumab		mab	humanized	B-cell activating factor (BAFF)		autoimmune disorders
Tildrakizumab	Ilumya	mab	humanized	IL-23	Y	immunologically mediated inflammatory disorders
Tigatuzumab		mab	humanized	TRAIL-R2		cancer
Timigutuzumab		mab	humanized	HER2		cancer
Timolumab		mab	human	AOC3		
tiragolumab		mab	human			
Tiragotumab		mab	human	TIGIT		cancer
Tislelizumab		mab	humanized	PCDC1, CD279		non-small cell lung cancer
Tisotumab vedotin	Tivdak	mab	human	coagulation factor III	Y	relapsed or refractory cervical cancer
Tixagevimab		mab	human	spike protein receptor binding domain (RBD) of SARS-CoV-2	Emergency Use Authorization (EUA) when used with cilgavimab	Coronavirus disease 2019 (COVID-19)
TNX-650		?	humanized	IL-13		Hodgkin's lymphoma
Tocilizumab	Actemra, RoActemra	mab	humanized	IL-6 receptor	Y	rheumatoid arthritis
Tomuzotuximab		mab	humanized	Epidermal growth factor receptor (EGFR), HER1		cancer
Toralizumab		mab	humanized	CD154 (CD40L)		rheumatoid arthritis, lupus nephritis etc.
Tosatoxumab		mab	human	Staphylococcus aureus		
Tositumomab	Bexxar	?	mouse	CD20	Y	follicular lymphoma
Tovetumab		mab	human	PDGFRA		cancer
Tralokinumab	Adtralza, Adbry	mab	human	IL-13	Y	atopic dermatitis
Trastuzumab	Herceptin	mab	humanized	HER2/neu	Y	breast cancer
Trastuzumab duocarmazine	Kadcyla	mab	humanized	HER2/neu	Y	breast cancer
Trastuzumab emtansine	Kadcyla	mab	humanized	HER2/neu	Y	breast cancer
TRBS07	Ektomab	3funct	?	GD2 ganglioside		melanoma
Tregalizumab		mab	humanized	CD4		
Tremelimumab		mab	human	CTLA-4		non-small cell lung, head & neck, urothelial cancer
Trevogrumab		mab	human	growth differentiation factor 8		muscle atrophy due to orthopedic disuse and sarcopenia
Tucotuzumab celmoleukin		mab	humanized	EpCAM		cancer
Tuvirumab		?	human	hepatitis B virus		chronic hepatitis B
Ublituximab		mab	chimeric	MS4A1		multiple sclerosis, chronic lymphocytic leukemia
Ulocuplumab		mab	human	CXCR4 (CD184)		hematologic malignancies
Urelumab		mab	human	4-1BB (CD137)		cancer etc.
Urtoxazumab		mab	humanized	Escherichia coli		diarrhoea caused by E. coli
Ustekinumab	Stelara	mab	human	IL-12, IL-23	Y	multiple sclerosis, psoriasis, psoriatic arthritis
Utomilumab		mab	human	4-1BB (CD137)		diffuse large B-cell lymphoma
Vadastuximab talirine		mab	chimeric	CD33		Acute myeloid leukemia
Vanalimab		mab	humanized	CD40		?
Vandortuzumab vedotin		mab	humanized	STEAP1		cancer
Vantictumab		mab	human	Frizzled receptor		cancer
Vanucizumab		mab	humanized	angiopoietin 2		cancer
Vapaliximab		mab	chimeric	AOC3 (VAP-1)		
Varisacumab		mab	human	VEGF-A		angiogenesis
Varlilumab		mab	human	CD27		solid tumors and hematologic malignancies
Vatelizumab		mab	humanized	ITGA2 (CD49b)		
Vedolizumab	Entyvio	mab	humanized	integrin α4 β7	Y	Crohn's disease, ulcerative colitis
Veltuzumab		mab	humanized	CD20		non-Hodgkin's lymphoma
Vepalimomab		mab	mouse	AOC3 (VAP-1)		inflammation
Vesencumab		mab	human	NRP1		solid malignancies
Visilizumab	Nuvion	mab	humanized	CD3		Crohn's disease, ulcerative colitis
Vobarilizumab		scFv	humanized	IL-6 receptor		inflammatory autoimmune diseases
Volociximab		mab	chimeric	integrin α5β1		solid tumors
Vonlerolizumab		mab	humanized	CD134		cancer
Vopratelimab		mab	humanized	CD278, aka ICOS		?
Vorsetuzumab mafodotin		mab	humanized	CD70		cancer
Votumumab	HumaSPECT	mab	human	tumor antigen CTAA16.88		colorectal tumors
Vunakizumab		mab	humanized	IL-17A		?
Xentuzumab		mab	humanized	IGF-1, IGF-2		?
XMAB-5574		?	humanized	CD19		diffuse large B-cell lymphoma
Zalutumumab		mab	human	Epidermal growth factor receptor (EGFR)		squamous cell carcinoma of the head and neck
Zanolimumab		mab	human	CD4		rheumatoid arthritis, psoriasis, T-cell lymphoma
Zatuximab		mab	chimeric	HER1		cancer
Zenocutuzumab		mab	humanized	ERBB3 (HER3)		cancer
Ziralimumab		mab	human	CD147 (basigin)		?
Zolbetuximab		mab	chimeric	Claudin 18 Isoform 2		gastric cancer, gastrointestinal adenocarcinoma and pancreatic cancer
Zolimomab aritox		mab	mouse	CD5		systemic lupus erythematosus, graft-versus-host disease
